User_ID,Name,Age,Device,Duration,Content_ID,Content_Type,Category,Type,Sentiment,Score,date,time
4c731e48-0377-4d7d-b4c8-b2174b774ed8,Gary Hill,41,Microsoft,11,636e6499-b670-4cd4-a829-2c4c9e07db2a,photo,soccer,disgust,negative,0.0,2020-10-25,11:46:00
4c731e48-0377-4d7d-b4c8-b2174b774ed8,Gary Hill,41,Microsoft,11,636e6499-b670-4cd4-a829-2c4c9e07db2a,photo,soccer,dislike,negative,10.0,2021-01-07,12:59:00
4c731e48-0377-4d7d-b4c8-b2174b774ed8,Gary Hill,41,Microsoft,11,636e6499-b670-4cd4-a829-2c4c9e07db2a,photo,soccer,cherish,positive,70.0,2020-08-21,11:58:00
4c731e48-0377-4d7d-b4c8-b2174b774ed8,Gary Hill,41,Microsoft,11,636e6499-b670-4cd4-a829-2c4c9e07db2a,photo,soccer,indifferent,neutral,20.0,2020-12-31,20:12:00
4c731e48-0377-4d7d-b4c8-b2174b774ed8,Gary Hill,41,Microsoft,11,636e6499-b670-4cd4-a829-2c4c9e07db2a,photo,soccer,super love,positive,75.0,2021-04-10,01:32:00
4c731e48-0377-4d7d-b4c8-b2174b774ed8,Gary Hill,41,Microsoft,11,636e6499-b670-4cd4-a829-2c4c9e07db2a,photo,soccer,intrigued,positive,45.0,2020-09-04,17:04:00
4c731e48-0377-4d7d-b4c8-b2174b774ed8,Gary Hill,41,Microsoft,11,636e6499-b670-4cd4-a829-2c4c9e07db2a,photo,soccer,worried,negative,12.0,2021-02-18,03:40:00
4c731e48-0377-4d7d-b4c8-b2174b774ed8,Gary Hill,41,Microsoft,11,636e6499-b670-4cd4-a829-2c4c9e07db2a,photo,soccer,like,positive,50.0,2020-06-20,09:24:00
4c731e48-0377-4d7d-b4c8-b2174b774ed8,Gary Hill,41,Microsoft,11,636e6499-b670-4cd4-a829-2c4c9e07db2a,photo,soccer,heart,positive,60.0,2020-09-09,12:14:00
4c731e48-0377-4d7d-b4c8-b2174b774ed8,Gary Hill,41,Microsoft,11,4b582733-141e-488f-8d02-3c4b149815a5,photo,fitness,disgust,negative,0.0,2021-01-03,01:25:00
4c731e48-0377-4d7d-b4c8-b2174b774ed8,Gary Hill,41,Microsoft,11,4b582733-141e-488f-8d02-3c4b149815a5,photo,fitness,scared,negative,15.0,2021-03-30,04:25:00
4c731e48-0377-4d7d-b4c8-b2174b774ed8,Gary Hill,41,Microsoft,11,4b582733-141e-488f-8d02-3c4b149815a5,photo,fitness,super love,positive,75.0,2020-08-16,07:01:00
4c731e48-0377-4d7d-b4c8-b2174b774ed8,Gary Hill,41,Microsoft,11,4b582733-141e-488f-8d02-3c4b149815a5,photo,fitness,intrigued,positive,45.0,2021-03-09,17:59:00
4c731e48-0377-4d7d-b4c8-b2174b774ed8,Gary Hill,41,Microsoft,11,4b582733-141e-488f-8d02-3c4b149815a5,photo,fitness,like,positive,50.0,2021-01-27,12:02:00
4c731e48-0377-4d7d-b4c8-b2174b774ed8,Gary Hill,41,Microsoft,11,4b582733-141e-488f-8d02-3c4b149815a5,photo,fitness,like,positive,50.0,2020-06-26,02:56:00
4c731e48-0377-4d7d-b4c8-b2174b774ed8,Gary Hill,41,Microsoft,11,4b582733-141e-488f-8d02-3c4b149815a5,photo,fitness,like,positive,50.0,2020-07-15,03:22:00
